nom_reservatorio;cod_resplanejamento;tip_reservatorio;nom_bacia;nom_ree;id_subsistema;nom_subsistema;id_subsistema_jusante;nom_subsistema_jusante;ear_data;ear_reservatorio_subsistema_proprio_mwmes;ear_reservatorio_subsistema_jusante_mwmes;earmax_reservatorio_subsistema_proprio_mwmes;earmax_reservatorio_subsistema_jusante_mwmes;ear_reservatorio_percentual
A. VERMELHA;18;Reservatório com Usina;GRANDE;PARANA;SE;SUDESTE;;;2021-01-01;427.0840148925781;;4328.18115234375;;9.867500305175781
B. BONITA;37;Reservatório com Usina;TIETE;PARANA;SE;SUDESTE;;;2021-01-01;1451.9959716796875;;2713.259033203125;;53.514801025390625
BALBINA;277;Reservatório com Usina;AMAZONAS;MANAUS-AMAPA;N;NORTE;;;2021-01-01;106.15599822998047;;776.4949951171875;;13.671199798583984
BARRA GRANDE;86;Reservatório com Usina;URUGUAI;SUL;S;SUL;;;2021-01-01;211.56199645996094;;2991.337890625;;7.072500228881836
BATALHA;20;Reservatório com Usina;PARANAIBA;PARANA;SE;SUDESTE;;;2021-01-01;849.8270263671875;;2741.81005859375;;30.995100021362305
BILLINGS;118;Reservatório sem usina;TIETE;SUDESTE;SE;SUDESTE;;;2021-01-01;1478.041015625;;2393.97607421875;;61.7400016784668
BOA ESPERANÇA;190;Reservatório com Usina;PARNAIBA;NORDESTE;NE;NORDESTE;;;2021-01-01;47.40599822998047;;264.1130065917969;;17.949100494384766
C.BRANCO-1;27;Reservatório com Usina;PARANAIBA;PARANA;SE;SUDESTE;;;2021-01-01;8.663000106811523;;20.61400032043457;;42.02479934692383
CACONDE;14;Reservatório com Usina;GRANDE;PARANA;SE;SUDESTE;;;2021-01-01;272.12701416015625;;849.6959838867188;;32.02640151977539
CACU;311;Reservatório com Usina;PARANAIBA;PARANA;SE;SUDESTE;;;2021-01-01;21.90999984741211;;30.798999786376953;;71.13870239257812
CAMARGOS;1;Reservatório com Usina;GRANDE;PARANA;SE;SUDESTE;;;2021-01-01;685.1920166015625;;1564.512939453125;;43.7958984375
CAMPOS NOVOS;90;Reservatório com Usina;URUGUAI;SUL;S;SUL;;;2021-01-01;118.58499908447266;;228.0189971923828;;52.00659942626953
CAPIVARA;61;Reservatório com Usina;PARANAPANEMA;PARANAPANEMA;SE;SUDESTE;;;2021-01-01;390.41400146484375;;3894.239013671875;;10.025400161743164
CHAVANTES;49;Reservatório com Usina;PARANAPANEMA;PARANAPANEMA;SE;SUDESTE;;;2021-01-01;313.5299987792969;;3372.027099609375;;9.29800033569336
CORUMBA;30;Reservatório com Usina;PARANAIBA;PARANA;SE;SUDESTE;;;2021-01-01;403.9840087890625;;1524.1510009765625;;26.50550079345703
CORUMBA-3;203;Reservatório com Usina;PARANAIBA;PARANA;SE;SUDESTE;;;2021-01-01;99.08499908447266;;424.2130126953125;;23.35740089416504
CORUMBA-4;29;Reservatório com Usina;PARANAIBA;PARANA;SE;SUDESTE;;;2021-01-01;395.9639892578125;;1424.634033203125;;27.794099807739258
CURUA-UNA;272;Reservatório com Usina;AMAZONAS;BELO MONTE;N;NORTE;;;2021-01-01;21.770999908447266;;27.274999618530273;;79.82029724121094
EMBORCAÇÃO;24;Reservatório com Usina;PARANAIBA;PARANA;SE;SUDESTE;;;2021-01-01;1736.916015625;;21816.111328125;;7.961599826812744
ERNESTINA;110;Reservatório sem usina;JACUI;SUL;S;SUL;;;2021-01-01;122.85099792480469;;206.75799560546875;;59.41780090332031
ESPORA;290;Reservatório com Usina;PARANAIBA;PARANA;SE;SUDESTE;;;2021-01-01;17.847000122070312;;112.63600158691406;;15.844799995422363
FUNIL;123;Reservatório com Usina;PARAIBA DO SUL;SUDESTE;SE;SUDESTE;;;2021-01-01;431.3190002441406;;799.9619750976562;;53.91740036010742
FURNAS;6;Reservatório com Usina;GRANDE;PARANA;SE;SUDESTE;;;2021-01-01;5742.73583984375;;35033.36328125;;16.392200469970703
G. B. MUNHOZ;74;Reservatório com Usina;IGUACU;IGUACU;S;SUL;;;2021-01-01;1867.9119873046875;;5934.4267578125;;31.475900650024414
G. P. SOUZA;115;Reservatório com Usina;CAPIVARI;SUL;S;SUL;;;2021-01-01;82.64700317382812;;376.5270080566406;;21.949800491333008
GARIBALDI;89;Reservatório com Usina;URUGUAI;SUL;S;SUL;;;2021-01-01;66.56600189208984;;102.27200317382812;;65.08719635009766
GUARAPIRANGA;117;Reservatório sem usina;TIETE;SUDESTE;SE;SUDESTE;;;2021-01-01;248.21600341796875;;400.218994140625;;62.02000045776367
I. SOLTEIRA;34;Reservatório com Usina;PARANA;PARANA;SE;SUDESTE;;;2021-01-01;1859.9580078125;;3680.138916015625;;50.540401458740234
IRAPE;148;Reservatório com Usina;JEQUITINHONHA;SUDESTE;SE;SUDESTE;NE;NORDESTE;2021-01-01;760.875;416.052001953125;1982.135009765625;1006.1719970703125;38.386600494384766
ITAPARICA;172;Reservatório com Usina;SAO FRANCISCO;NORDESTE;NE;NORDESTE;;;2021-01-01;1543.741943359375;;3415.156982421875;;45.202701568603516
ITUMBIARA;31;Reservatório com Usina;PARANAIBA;PARANA;SE;SUDESTE;;;2021-01-01;1510.3079833984375;;15642.1142578125;;9.655400276184082
JAGUARI;120;Reservatório com Usina;PARAIBA DO SUL;SUDESTE;SE;SUDESTE;;;2021-01-01;431.57000732421875;;1195.0240478515625;;36.11389923095703
JORDÃO;73;Reservatório sem usina;IGUACU;IGUACU;S;SUL;;;2021-01-01;5.486000061035156;;20.68600082397461;;26.52039909362793
JURUMIRIM;47;Reservatório com Usina;PARANAPANEMA;PARANAPANEMA;SE;SUDESTE;;;2021-01-01;602.1669921875;;4115.205078125;;14.632699966430664
LAJES;124;Reservatório sem usina;PARAIBA DO SUL;SUDESTE;SE;SUDESTE;;;2021-01-01;429.23199462890625;;481.5260009765625;;89.13990020751953
M. MORAES;7;Reservatório com Usina;GRANDE;PARANA;SE;SUDESTE;;;2021-01-01;1620.06396484375;;4341.56396484375;;37.31520080566406
MACHADINHO;91;Reservatório com Usina;URUGUAI;SUL;S;SUL;;;2021-01-01;280.989990234375;;891.947021484375;;31.503000259399414
MANSO;278;Reservatório com Usina;PARAGUAI;SUDESTE;SE;SUDESTE;;;2021-01-01;112.97599792480469;;558.31298828125;;20.235200881958008
MARIMBONDO;17;Reservatório com Usina;GRANDE;PARANA;SE;SUDESTE;;;2021-01-01;748.2579956054688;;5357.2861328125;;13.967100143432617
MAUA;57;Reservatório com Usina;PARANAPANEMA;IGUACU;S;SUL;SE;SUDESTE;2021-01-01;68.36499786376953;118.7249984741211;259.9280090332031;451.7430114746094;26.30150032043457
MIRANDA;26;Reservatório com Usina;PARANAIBA;PARANA;SE;SUDESTE;;;2021-01-01;176.97999572753906;;268.2449951171875;;65.97699737548828
NOVA PONTE;25;Reservatório com Usina;PARANAIBA;PARANA;SE;SUDESTE;;;2021-01-01;2318.26611328125;;22650.265625;;10.234999656677246
PARAIBUNA;121;Reservatório com Usina;PARAIBA DO SUL;SUDESTE;SE;SUDESTE;;;2021-01-01;1123.4449462890625;;4494.10888671875;;24.998199462890625
PASSO FUNDO;93;Reservatório com Usina;URUGUAI;SUL;S;SUL;;;2021-01-01;559.7899780273438;;1724.18701171875;;32.46689987182617
PASSO REAL;111;Reservatório com Usina;JACUI;SUL;S;SUL;;;2021-01-01;1012.3900146484375;;2916.330078125;;34.714500427246094
PEDRA DO CAVALO;189;Reservatório com Usina;PARAGUACU;NORDESTE;NE;NORDESTE;;;2021-01-01;309.4620056152344;;328.6090087890625;;94.17330169677734
PEIXE ANGICAL;257;Reservatório com Usina;TOCANTINS;SUDESTE;SE;SUDESTE;N;NORTE;2021-01-01;70.11699676513672;84.25599670410156;109.01499938964844;145.0189971923828;64.3187026977539
PORTO ESTRELA;135;Reservatório com Usina;DOCE;SUDESTE;SE;SUDESTE;;;2021-01-01;11.706000328063965;;12.763999938964844;;91.71109771728516
PROMISSÃO;40;Reservatório com Usina;TIETE;PARANA;SE;SUDESTE;;;2021-01-01;793.2960205078125;;1825.697021484375;;43.451698303222656
QUEBRA QUEIXO;95;Reservatório com Usina;URUGUAI;SUL;S;SUL;;;2021-01-01;7.072000026702881;;10.050999641418457;;70.36119842529297
QUEIMADO;162;Reservatório com Usina;SAO FRANCISCO;SUDESTE;SE;SUDESTE;NE;NORDESTE;2021-01-01;56.61000061035156;99.43800354003906;283.57501220703125;483.9639892578125;19.96299934387207
RETIRO BAIXO;155;Reservatório com Usina;SAO FRANCISCO;SUDESTE;SE;SUDESTE;NE;NORDESTE;2021-01-01;4.408999919891357;17.915000915527344;11.239999771118164;42.83599853515625;39.22600173950195
RONDON II;276;Reservatório com Usina;AMAZONAS;MADEIRA;SE;SUDESTE;;;2021-01-01;15.505000114440918;;57.483001708984375;;26.97319984436035
S.DO FACÃO;21;Reservatório com Usina;PARANAIBA;PARANA;SE;SUDESTE;;;2021-01-01;575.083984375;;6559.416015625;;8.76729965209961
SALTO SANTIAGO;77;Reservatório com Usina;IGUACU;IGUACU;S;SUL;;;2021-01-01;803.906982421875;;3403.291015625;;23.62150001525879
