nom_reservatorio;cod_resplanejamento;tip_reservatorio;nom_bacia;nom_ree;id_subsistema;nom_subsistema;id_subsistema_jusante;nom_subsistema_jusante;ear_data;ear_reservatorio_subsistema_proprio_mwmes;ear_reservatorio_subsistema_jusante_mwmes;earmax_reservatorio_subsistema_proprio_mwmes;earmax_reservatorio_subsistema_jusante_mwmes;ear_reservatorio_percentual
BATALHA;20;Reservatório com Usina;PARANAIBA;PARANA;SE;SUDESTE;;;2020-01-05;501.449;;2741.81;;18.289
BILLINGS;118;Reservatório sem usina;TIETE;SUDESTE;SE;SUDESTE;;;2020-01-05;1726.057;;2393.976;;72.1
BOA ESPERANÇA;190;Reservatório com Usina;PARNAIBA;NORDESTE;NE;NORDESTE;;;2020-01-05;46.626;;264.113;;17.6538
C.BRANCO-1;27;Reservatório com Usina;PARANAIBA;PARANA;SE;SUDESTE;;;2020-01-05;11.265;;20.614;;54.6473
CACONDE;14;Reservatório com Usina;GRANDE;PARANA;SE;SUDESTE;;;2020-01-05;331.018;;849.696;;38.9572
CACU;311;Reservatório com Usina;PARANAIBA;PARANA;SE;SUDESTE;;;2020-01-05;28.598;;30.799;;92.8537
CAMARGOS;1;Reservatório com Usina;GRANDE;PARANA;SE;SUDESTE;;;2020-01-05;401.189;;1564.513;;25.6431
CAMPOS NOVOS;90;Reservatório com Usina;URUGUAI;SUL;S;SUL;;;2020-01-05;97.183;;228.019;;42.6206
CAPIVARA;61;Reservatório com Usina;PARANAPANEMA;PARANAPANEMA;SE;SUDESTE;;;2020-01-05;1549.399;;3894.239;;39.787
CHAVANTES;49;Reservatório com Usina;PARANAPANEMA;PARANAPANEMA;SE;SUDESTE;;;2020-01-05;442.101;;3372.027;;13.1108
CORUMBA;30;Reservatório com Usina;PARANAIBA;PARANA;SE;SUDESTE;;;2020-01-05;433.791;;1524.151;;28.4612
CORUMBA-3;203;Reservatório com Usina;PARANAIBA;PARANA;SE;SUDESTE;;;2020-01-05;135.17;;424.213;;31.8637
CORUMBA-4;29;Reservatório com Usina;PARANAIBA;PARANA;SE;SUDESTE;;;2020-01-05;309.476;;1424.634;;21.7232
CURUA-UNA;272;Reservatório com Usina;AMAZONAS;BELO MONTE;N;NORTE;;;2020-01-05;4.323;;27.275;;15.8497
EMBORCAÇÃO;24;Reservatório com Usina;PARANAIBA;PARANA;SE;SUDESTE;;;2020-01-05;2613.413;;21816.111;;11.9793
ERNESTINA;110;Reservatório sem usina;JACUI;SUL;S;SUL;;;2020-01-05;187.476;;206.758;;90.6741
ESPORA;290;Reservatório com Usina;PARANAIBA;PARANA;SE;SUDESTE;;;2020-01-05;21.555;;112.636;;19.1369
FUNIL;123;Reservatório com Usina;PARAIBA DO SUL;SUDESTE;SE;SUDESTE;;;2020-01-05;283.806;;799.962;;35.4774
FURNAS;6;Reservatório com Usina;GRANDE;PARANA;SE;SUDESTE;;;2020-01-05;4663.741;;35033.363;;13.3123
G. B. MUNHOZ;74;Reservatório com Usina;IGUACU;IGUACU;S;SUL;;;2020-01-05;1329.346;;5934.427;;22.4006
G. P. SOUZA;115;Reservatório com Usina;CAPIVARI;SUL;S;SUL;;;2020-01-05;77.043;;376.527;;20.4615
GARIBALDI;89;Reservatório com Usina;URUGUAI;SUL;S;SUL;;;2020-01-05;39.259;;102.272;;38.3869
GUARAPIRANGA;117;Reservatório sem usina;TIETE;SUDESTE;SE;SUDESTE;;;2020-01-05;279.593;;400.219;;69.86
I. SOLTEIRA;34;Reservatório com Usina;PARANA;PARANA;SE;SUDESTE;;;2020-01-05;2158.827;;3680.139;;58.6616
IRAPE;148;Reservatório com Usina;JEQUITINHONHA;SUDESTE;SE;SUDESTE;NE;NORDESTE;2020-01-05;422.619;237.96;1982.135;1006.172;21.3214
ITAPARICA;172;Reservatório com Usina;SAO FRANCISCO;NORDESTE;NE;NORDESTE;;;2020-01-05;1235.435;;3415.157;;36.1751
ITUMBIARA;31;Reservatório com Usina;PARANAIBA;PARANA;SE;SUDESTE;;;2020-01-05;2575.692;;15642.114;;16.4664
JAGUARI;120;Reservatório com Usina;PARAIBA DO SUL;SUDESTE;SE;SUDESTE;;;2020-01-05;592.484;;1195.024;;49.5793
JORDÃO;73;Reservatório sem usina;IGUACU;IGUACU;S;SUL;;;2020-01-05;4.568;;20.686;;22.0826
JURUMIRIM;47;Reservatório com Usina;PARANAPANEMA;PARANAPANEMA;SE;SUDESTE;;;2020-01-05;1228.577;;4115.205;;29.8546
LAJES;124;Reservatório sem usina;PARAIBA DO SUL;SUDESTE;SE;SUDESTE;;;2020-01-05;407.467;;481.526;;84.6199
M. MORAES;7;Reservatório com Usina;GRANDE;PARANA;SE;SUDESTE;;;2020-01-05;1562.546;;4341.564;;35.9904
MACHADINHO;91;Reservatório com Usina;URUGUAI;SUL;S;SUL;;;2020-01-05;172.342;;891.947;;19.322
MANSO;278;Reservatório com Usina;PARAGUAI;SUDESTE;SE;SUDESTE;;;2020-01-05;278.026;;558.313;;49.7975
MARIMBONDO;17;Reservatório com Usina;GRANDE;PARANA;SE;SUDESTE;;;2020-01-05;989.548;;5357.286;;18.4711
