nomecurto;ear_data;ear_max_bacia;ear_verif_bacia_mwmes;ear_verif_bacia_percentual
AMAZONAS;2017-01-01;1086.0;87.0;8.010000228881836
CAPIVARI;2017-01-01;385.0;240.0;62.310001373291016
DOCE;2017-01-01;13.0;12.0;95.41000366210938
GRANDE;2017-01-01;51488.0;24040.0;46.689998626708984
IGUACU;2017-01-01;10248.0;5455.0;53.22999954223633
JACUI;2017-01-01;3197.0;2668.0;83.45999908447266
JEQUITINHONHA;2017-01-01;3024.0;445.0;14.720000267028809
PARAGUACU;2017-01-01;304.0;89.0;29.25
PARAGUAI;2017-01-01;563.0;310.0;55.08000183105469
PARAIBA DO SUL;2017-01-01;7360.0;3726.0;50.619998931884766
PARANA;2017-01-01;6059.0;3304.0;54.529998779296875
PARANAIBA;2017-01-01;78140.0;21568.0;27.600000381469727
PARANAPANEMA;2017-01-01;12317.0;7100.0;57.63999938964844
PARNAIBA;2017-01-01;264.0;64.0;24.239999771118164
SAO FRANCISCO;2017-01-01;52835.0;8716.0;16.5
TIETE;2017-01-01;7353.0;4511.0;61.349998474121094
TOCANTINS;2017-01-01;49646.0;6063.0;12.210000038146973
URUGUAI;2017-01-01;6009.0;3905.0;64.98999786376953
AMAZONAS;2017-01-02;1086.0;88.0;8.100000381469727
CAPIVARI;2017-01-02;385.0;239.0;62.04999923706055
DOCE;2017-01-02;13.0;12.0;95.41000366210938
GRANDE;2017-01-02;51488.0;23941.0;46.5
IGUACU;2017-01-02;10248.0;5466.0;53.34000015258789
JACUI;2017-01-02;3197.0;2699.0;84.43000030517578
JEQUITINHONHA;2017-01-02;3024.0;443.0;14.649999618530273
PARAGUACU;2017-01-02;304.0;89.0;29.25
PARAGUAI;2017-01-02;563.0;309.0;54.900001525878906
PARAIBA DO SUL;2017-01-02;7360.0;3724.0;50.59000015258789
PARANA;2017-01-02;6059.0;3213.0;53.029998779296875
PARANAIBA;2017-01-02;78140.0;21438.0;27.440000534057617
PARANAPANEMA;2017-01-02;12317.0;7095.0;57.599998474121094
PARNAIBA;2017-01-02;264.0;63.0;23.860000610351562
SAO FRANCISCO;2017-01-02;52835.0;8878.0;16.799999237060547
TIETE;2017-01-02;7353.0;4501.0;61.209999084472656
TOCANTINS;2017-01-02;49646.0;6086.0;12.260000228881836
URUGUAI;2017-01-02;6009.0;3954.0;65.80000305175781
AMAZONAS;2017-01-03;1086.0;90.0;8.289999961853027
CAPIVARI;2017-01-03;385.0;239.0;62.04999923706055
DOCE;2017-01-03;13.0;12.0;95.41000366210938
GRANDE;2017-01-03;51488.0;23792.0;46.209999084472656
IGUACU;2017-01-03;10248.0;5471.0;53.38999938964844
JACUI;2017-01-03;3197.0;2713.0;84.87000274658203
JEQUITINHONHA;2017-01-03;3024.0;441.0;14.579999923706055
PARAGUACU;2017-01-03;304.0;89.0;29.25
PARAGUAI;2017-01-03;563.0;309.0;54.900001525878906
PARAIBA DO SUL;2017-01-03;7360.0;3723.0;50.58000183105469
PARANA;2017-01-03;6059.0;3127.0;51.61000061035156
PARANAIBA;2017-01-03;78140.0;21297.0;27.260000228881836
PARANAPANEMA;2017-01-03;12317.0;7053.0;57.2599983215332
PARNAIBA;2017-01-03;264.0;62.0;23.479999542236328
SAO FRANCISCO;2017-01-03;52835.0;8944.0;16.93000030517578
TIETE;2017-01-03;7353.0;4470.0;60.790000915527344
TOCANTINS;2017-01-03;49646.0;6073.0;12.229999542236328
URUGUAI;2017-01-03;6009.0;3960.0;65.9000015258789
AMAZONAS;2017-01-04;1086.0;93.0;8.5600004196167
CAPIVARI;2017-01-04;385.0;238.0;61.790000915527344
DOCE;2017-01-04;13.0;12.0;95.41000366210938
GRANDE;2017-01-04;51488.0;23729.0;46.09000015258789
IGUACU;2017-01-04;10248.0;5462.0;53.29999923706055
JACUI;2017-01-04;3197.0;2735.0;85.55999755859375
JEQUITINHONHA;2017-01-04;3024.0;438.0;14.479999542236328
PARAGUACU;2017-01-04;304.0;89.0;29.25
PARAGUAI;2017-01-04;563.0;308.0;54.72999954223633
PARAIBA DO SUL;2017-01-04;7360.0;3725.0;50.61000061035156
PARANA;2017-01-04;6059.0;3145.0;51.900001525878906
PARANAIBA;2017-01-04;78140.0;21264.0;27.209999084472656
PARANAPANEMA;2017-01-04;12317.0;6993.0;56.77000045776367
PARNAIBA;2017-01-04;264.0;61.0;23.100000381469727
SAO FRANCISCO;2017-01-04;52835.0;9004.0;17.040000915527344
TIETE;2017-01-04;7353.0;4458.0;60.619998931884766
TOCANTINS;2017-01-04;49646.0;6094.0;12.270000457763672
URUGUAI;2017-01-04;6009.0;3944.0;65.63999938964844
AMAZONAS;2017-01-05;1086.0;96.0;8.84000015258789
CAPIVARI;2017-01-05;385.0;237.0;61.529998779296875
DOCE;2017-01-05;13.0;12.0;95.41000366210938
GRANDE;2017-01-05;51488.0;23587.0;45.810001373291016
IGUACU;2017-01-05;10248.0;5484.0;53.5099983215332
JACUI;2017-01-05;3197.0;2750.0;86.02999877929688
JEQUITINHONHA;2017-01-05;3024.0;436.0;14.420000076293945
PARAGUACU;2017-01-05;304.0;88.0;28.920000076293945
PARAGUAI;2017-01-05;563.0;308.0;54.72999954223633
PARAIBA DO SUL;2017-01-05;7360.0;3728.0;50.650001525878906
PARANA;2017-01-05;6059.0;3118.0;51.459999084472656
PARANAIBA;2017-01-05;78140.0;21129.0;27.040000915527344
PARANAPANEMA;2017-01-05;12317.0;6945.0;56.380001068115234
PARNAIBA;2017-01-05;264.0;60.0;22.719999313354492
SAO FRANCISCO;2017-01-05;52835.0;9017.0;17.06999969482422
TIETE;2017-01-05;7353.0;4447.0;60.470001220703125
TOCANTINS;2017-01-05;49646.0;6124.0;12.34000015258789
URUGUAI;2017-01-05;6009.0;3995.0;66.4800033569336
AMAZONAS;2017-01-06;1086.0;99.0;9.119999885559082
CAPIVARI;2017-01-06;385.0;239.0;62.04999923706055
DOCE;2017-01-06;13.0;12.0;95.41000366210938
GRANDE;2017-01-06;51488.0;23480.0;45.599998474121094
IGUACU;2017-01-06;10248.0;5620.0;54.84000015258789
JACUI;2017-01-06;3197.0;2774.0;86.77999877929688
JEQUITINHONHA;2017-01-06;3024.0;433.0;14.319999694824219
PARAGUACU;2017-01-06;304.0;88.0;28.920000076293945
PARAGUAI;2017-01-06;563.0;308.0;54.72999954223633
PARAIBA DO SUL;2017-01-06;7360.0;3736.0;50.7599983215332
PARANA;2017-01-06;6059.0;3120.0;51.4900016784668
PARANAIBA;2017-01-06;78140.0;21010.0;26.889999389648438
PARANAPANEMA;2017-01-06;12317.0;6935.0;56.29999923706055
PARNAIBA;2017-01-06;264.0;60.0;22.719999313354492
SAO FRANCISCO;2017-01-06;52835.0;9026.0;17.079999923706055
TIETE;2017-01-06;7353.0;4428.0;60.220001220703125
TOCANTINS;2017-01-06;49646.0;6159.0;12.40999984741211
URUGUAI;2017-01-06;6009.0;4186.0;69.66000366210938
AMAZONAS;2017-01-07;1086.0;102.0;9.390000343322754
CAPIVARI;2017-01-07;385.0;243.0;63.09000015258789
DOCE;2017-01-07;13.0;12.0;95.41000366210938
GRANDE;2017-01-07;51488.0;23393.0;45.43000030517578
IGUACU;2017-01-07;10248.0;5803.0;56.630001068115234
JACUI;2017-01-07;3197.0;2796.0;87.45999908447266
JEQUITINHONHA;2017-01-07;3024.0;431.0;14.25
PARAGUACU;2017-01-07;304.0;88.0;28.920000076293945
PARAGUAI;2017-01-07;563.0;308.0;54.72999954223633
PARAIBA DO SUL;2017-01-07;7360.0;3746.0;50.88999938964844
PARANA;2017-01-07;6059.0;3234.0;53.369998931884766
PARANAIBA;2017-01-07;78140.0;20958.0;26.81999969482422
PARANAPANEMA;2017-01-07;12317.0;6972.0;56.599998474121094
PARNAIBA;2017-01-07;264.0;60.0;22.719999313354492
SAO FRANCISCO;2017-01-07;52835.0;9038.0;17.110000610351562
TIETE;2017-01-07;7353.0;4396.0;59.779998779296875
TOCANTINS;2017-01-07;49646.0;6192.0;12.470000267028809
URUGUAI;2017-01-07;6009.0;4351.0;72.41000366210938
AMAZONAS;2017-01-08;1086.0;105.0;9.670000076293945
CAPIVARI;2017-01-08;385.0;246.0;63.869998931884766
DOCE;2017-01-08;13.0;11.0;87.45999908447266
GRANDE;2017-01-08;51488.0;23325.0;45.29999923706055
IGUACU;2017-01-08;10248.0;5989.0;58.439998626708984
JACUI;2017-01-08;3197.0;2807.0;87.80999755859375
JEQUITINHONHA;2017-01-08;3024.0;429.0;14.1899995803833
PARAGUACU;2017-01-08;304.0;88.0;28.920000076293945
PARAGUAI;2017-01-08;563.0;307.0;54.54999923706055
PARAIBA DO SUL;2017-01-08;7360.0;3758.0;51.060001373291016
PARANA;2017-01-08;6059.0;3330.0;54.959999084472656
PARANAIBA;2017-01-08;78140.0;20983.0;26.850000381469727
PARANAPANEMA;2017-01-08;12317.0;7013.0;56.939998626708984
PARNAIBA;2017-01-08;264.0;60.0;22.719999313354492
