nomecurto;ear_data;ear_max_bacia;ear_verif_bacia_mwmes;ear_verif_bacia_percentual
AMAZONAS;2015-01-01;1086.0;390.0;35.91999816894531
CAPIVARI;2015-01-01;385.0;143.0;37.130001068115234
DOCE;2015-01-01;13.0;8.0;63.61000061035156
GRANDE;2015-01-01;51488.0;7699.0;14.949999809265137
IGUACU;2015-01-01;10248.0;5448.0;53.15999984741211
JACUI;2015-01-01;3197.0;2157.0;67.4800033569336
JEQUITINHONHA;2015-01-01;3024.0;936.0;30.950000762939453
PARAGUACU;2015-01-01;304.0;123.0;40.41999816894531
PARAGUAI;2015-01-01;563.0;421.0;74.80000305175781
PARAIBA DO SUL;2015-01-01;7360.0;495.0;6.730000019073486
PARANA;2015-01-01;6059.0;0.0;0.0
PARANAIBA;2015-01-01;78140.0;14549.0;18.6200008392334
PARANAPANEMA;2015-01-01;12317.0;2994.0;24.309999465942383
PARNAIBA;2015-01-01;264.0;56.0;21.209999084472656
SAO FRANCISCO;2015-01-01;52835.0;8758.0;16.579999923706055
TIETE;2015-01-01;7353.0;3704.0;50.369998931884766
TOCANTINS;2015-01-01;49646.0;13732.0;27.65999984741211
URUGUAI;2015-01-01;6009.0;4206.0;70.0
AMAZONAS;2015-01-02;1086.0;391.0;36.0099983215332
CAPIVARI;2015-01-02;385.0;147.0;38.16999816894531
DOCE;2015-01-02;13.0;8.0;63.61000061035156
GRANDE;2015-01-02;51488.0;7764.0;15.079999923706055
IGUACU;2015-01-02;10248.0;5761.0;56.220001220703125
JACUI;2015-01-02;3197.0;2209.0;69.0999984741211
JEQUITINHONHA;2015-01-02;3024.0;933.0;30.850000381469727
PARAGUACU;2015-01-02;304.0;122.0;40.099998474121094
PARAGUAI;2015-01-02;563.0;417.0;74.08999633789062
PARAIBA DO SUL;2015-01-02;7360.0;494.0;6.710000038146973
PARANA;2015-01-02;6059.0;0.0;0.0
PARANAIBA;2015-01-02;78140.0;14564.0;18.639999389648438
PARANAPANEMA;2015-01-02;12317.0;3049.0;24.75
PARNAIBA;2015-01-02;264.0;53.0;20.06999969482422
SAO FRANCISCO;2015-01-02;52835.0;8821.0;16.700000762939453
TIETE;2015-01-02;7353.0;3714.0;50.5099983215332
TOCANTINS;2015-01-02;49646.0;13795.0;27.790000915527344
URUGUAI;2015-01-02;6009.0;4380.0;72.88999938964844
AMAZONAS;2015-01-03;1086.0;391.0;36.0099983215332
CAPIVARI;2015-01-03;385.0;150.0;38.95000076293945
DOCE;2015-01-03;13.0;9.0;71.55999755859375
GRANDE;2015-01-03;51488.0;7866.0;15.279999732971191
IGUACU;2015-01-03;10248.0;6024.0;58.779998779296875
JACUI;2015-01-03;3197.0;2236.0;69.94999694824219
JEQUITINHONHA;2015-01-03;3024.0;931.0;30.790000915527344
PARAGUACU;2015-01-03;304.0;121.0;39.77000045776367
PARAGUAI;2015-01-03;563.0;414.0;73.55999755859375
PARAIBA DO SUL;2015-01-03;7360.0;492.0;6.679999828338623
PARANA;2015-01-03;6059.0;0.0;0.0
PARANAIBA;2015-01-03;78140.0;14602.0;18.690000534057617
PARANAPANEMA;2015-01-03;12317.0;3103.0;25.190000534057617
PARNAIBA;2015-01-03;264.0;49.0;18.559999465942383
SAO FRANCISCO;2015-01-03;52835.0;8762.0;16.579999923706055
TIETE;2015-01-03;7353.0;3726.0;50.66999816894531
TOCANTINS;2015-01-03;49646.0;13834.0;27.8700008392334
URUGUAI;2015-01-03;6009.0;4461.0;74.23999786376953
AMAZONAS;2015-01-04;1086.0;390.0;35.91999816894531
CAPIVARI;2015-01-04;385.0;154.0;39.97999954223633
DOCE;2015-01-04;13.0;9.0;71.55999755859375
GRANDE;2015-01-04;51488.0;7945.0;15.430000305175781
IGUACU;2015-01-04;10248.0;6285.0;61.33000183105469
JACUI;2015-01-04;3197.0;2264.0;70.81999969482422
JEQUITINHONHA;2015-01-04;3024.0;930.0;30.75
PARAGUACU;2015-01-04;304.0;120.0;39.439998626708984
