nomecurto;ear_data;ear_max_bacia;ear_verif_bacia_mwmes;ear_verif_bacia_percentual
AMAZONAS;2011-01-01;255.0;10.0;3.930000066757202
CAPIVARI;2011-01-01;385.0;255.0;66.20999908447266
DOCE;2011-01-01;13.0;13.0;103.36000061035156
GRANDE;2011-01-01;51488.0;27319.0;53.060001373291016
IGUACU;2011-01-01;10248.0;8041.0;78.45999908447266
JACUI;2011-01-01;3197.0;2550.0;79.7699966430664
JEQUITINHONHA;2011-01-01;3024.0;2167.0;71.66000366210938
PARAGUACU;2011-01-01;304.0;103.0;33.849998474121094
PARAGUAI;2011-01-01;563.0;209.0;37.13999938964844
PARAIBA DO SUL;2011-01-01;7360.0;5338.0;72.5199966430664
PARANA;2011-01-01;6059.0;3889.0;64.18000030517578
PARANAIBA;2011-01-01;75422.0;24864.0;32.970001220703125
PARANAPANEMA;2011-01-01;11598.0;5969.0;51.470001220703125
PARNAIBA;2011-01-01;264.0;72.0;27.270000457763672
SAO FRANCISCO;2011-01-01;52835.0;24304.0;46.0
TIETE;2011-01-01;7353.0;4771.0;64.87999725341797
TOCANTINS;2011-01-01;47794.0;20691.0;43.290000915527344
URUGUAI;2011-01-01;5905.0;3473.0;58.810001373291016
AMAZONAS;2011-01-02;255.0;10.0;3.930000066757202
CAPIVARI;2011-01-02;385.0;257.0;66.7300033569336
DOCE;2011-01-02;13.0;13.0;103.36000061035156
GRANDE;2011-01-02;51488.0;27593.0;53.59000015258789
IGUACU;2011-01-02;10248.0;8175.0;79.7699966430664
JACUI;2011-01-02;3197.0;2549.0;79.73999786376953
JEQUITINHONHA;2011-01-02;3024.0;2202.0;72.80999755859375
PARAGUACU;2011-01-02;304.0;103.0;33.849998474121094
PARAGUAI;2011-01-02;563.0;212.0;37.66999816894531
PARAIBA DO SUL;2011-01-02;7360.0;5369.0;72.94000244140625
PARANA;2011-01-02;6059.0;3878.0;64.0
PARANAIBA;2011-01-02;75422.0;25390.0;33.65999984741211
PARANAPANEMA;2011-01-02;11598.0;5980.0;51.560001373291016
PARNAIBA;2011-01-02;264.0;74.0;28.030000686645508
SAO FRANCISCO;2011-01-02;52835.0;24568.0;46.5
TIETE;2011-01-02;7353.0;4768.0;64.83999633789062
TOCANTINS;2011-01-02;47794.0;21178.0;44.310001373291016
URUGUAI;2011-01-02;5905.0;3474.0;58.83000183105469
AMAZONAS;2011-01-03;255.0;11.0;4.320000171661377
CAPIVARI;2011-01-03;385.0;260.0;67.51000213623047
DOCE;2011-01-03;13.0;13.0;103.36000061035156
GRANDE;2011-01-03;51488.0;27932.0;54.25
IGUACU;2011-01-03;10248.0;8223.0;80.23999786376953
JACUI;2011-01-03;3197.0;2546.0;79.63999938964844
JEQUITINHONHA;2011-01-03;3024.0;2239.0;74.04000091552734
PARAGUACU;2011-01-03;304.0;103.0;33.849998474121094
PARAGUAI;2011-01-03;563.0;213.0;37.849998474121094
PARAIBA DO SUL;2011-01-03;7360.0;5433.0;73.80999755859375
PARANA;2011-01-03;6059.0;3918.0;64.66000366210938
PARANAIBA;2011-01-03;75422.0;25926.0;34.369998931884766
PARANAPANEMA;2011-01-03;11598.0;5966.0;51.439998626708984
PARNAIBA;2011-01-03;264.0;75.0;28.399999618530273
SAO FRANCISCO;2011-01-03;52835.0;24874.0;47.08000183105469
TIETE;2011-01-03;7353.0;4845.0;65.88999938964844
TOCANTINS;2011-01-03;47794.0;21554.0;45.099998474121094
URUGUAI;2011-01-03;5905.0;3434.0;58.150001525878906
AMAZONAS;2011-01-04;255.0;11.0;4.320000171661377
CAPIVARI;2011-01-04;385.0;261.0;67.7699966430664
DOCE;2011-01-04;13.0;13.0;103.36000061035156
GRANDE;2011-01-04;51488.0;28460.0;55.279998779296875
IGUACU;2011-01-04;10248.0;8226.0;80.2699966430664
JACUI;2011-01-04;3197.0;2543.0;79.55000305175781
JEQUITINHONHA;2011-01-04;3024.0;2277.0;75.30000305175781
PARAGUACU;2011-01-04;304.0;102.0;33.52000045776367
PARAGUAI;2011-01-04;563.0;214.0;38.02000045776367
PARAIBA DO SUL;2011-01-04;7360.0;5495.0;74.66000366210938
PARANA;2011-01-04;6059.0;3903.0;64.41000366210938
PARANAIBA;2011-01-04;75422.0;26608.0;35.279998779296875
PARANAPANEMA;2011-01-04;11598.0;5950.0;51.29999923706055
PARNAIBA;2011-01-04;264.0;77.0;29.15999984741211
SAO FRANCISCO;2011-01-04;52835.0;25220.0;47.72999954223633
TIETE;2011-01-04;7353.0;5008.0;68.0999984741211
TOCANTINS;2011-01-04;47794.0;21925.0;45.869998931884766
URUGUAI;2011-01-04;5905.0;3368.0;57.040000915527344
AMAZONAS;2011-01-05;255.0;12.0;4.710000038146973
CAPIVARI;2011-01-05;385.0;260.0;67.51000213623047
DOCE;2011-01-05;13.0;13.0;103.36000061035156
GRANDE;2011-01-05;51488.0;29099.0;56.52000045776367
IGUACU;2011-01-05;10248.0;8214.0;80.1500015258789
JACUI;2011-01-05;3197.0;2537.0;79.36000061035156
JEQUITINHONHA;2011-01-05;3024.0;2309.0;76.3499984741211
PARAGUACU;2011-01-05;304.0;102.0;33.52000045776367
PARAGUAI;2011-01-05;563.0;214.0;38.02000045776367
PARAIBA DO SUL;2011-01-05;7360.0;5552.0;75.43000030517578
PARANA;2011-01-05;6059.0;3890.0;64.19999694824219
PARANAIBA;2011-01-05;75422.0;27329.0;36.22999954223633
PARANAPANEMA;2011-01-05;11598.0;5933.0;51.15999984741211
PARNAIBA;2011-01-05;264.0;78.0;29.540000915527344
SAO FRANCISCO;2011-01-05;52835.0;25267.0;47.81999969482422
TIETE;2011-01-05;7353.0;5151.0;70.05000305175781
TOCANTINS;2011-01-05;47794.0;22260.0;46.58000183105469
URUGUAI;2011-01-05;5905.0;3290.0;55.720001220703125
AMAZONAS;2011-01-06;255.0;12.0;4.710000038146973
CAPIVARI;2011-01-06;385.0;258.0;66.98999786376953
DOCE;2011-01-06;13.0;13.0;103.36000061035156
GRANDE;2011-01-06;51488.0;29827.0;57.93000030517578
IGUACU;2011-01-06;10248.0;8184.0;79.86000061035156
JACUI;2011-01-06;3197.0;2531.0;79.16999816894531
JEQUITINHONHA;2011-01-06;3024.0;2331.0;77.08000183105469
PARAGUACU;2011-01-06;304.0;102.0;33.52000045776367
PARAGUAI;2011-01-06;563.0;214.0;38.02000045776367
PARAIBA DO SUL;2011-01-06;7360.0;5606.0;76.16000366210938
PARANA;2011-01-06;6059.0;3875.0;63.95000076293945
PARANAIBA;2011-01-06;75422.0;27948.0;37.060001373291016
PARANAPANEMA;2011-01-06;11598.0;5932.0;51.150001525878906
PARNAIBA;2011-01-06;264.0;80.0;30.299999237060547
SAO FRANCISCO;2011-01-06;52835.0;25521.0;48.29999923706055
TIETE;2011-01-06;7353.0;5288.0;71.91000366210938
TOCANTINS;2011-01-06;47794.0;22542.0;47.16999816894531
URUGUAI;2011-01-06;5905.0;3222.0;54.560001373291016
AMAZONAS;2011-01-07;255.0;13.0;5.099999904632568
CAPIVARI;2011-01-07;385.0;257.0;66.7300033569336
DOCE;2011-01-07;13.0;12.0;95.41000366210938
GRANDE;2011-01-07;51488.0;30606.0;59.439998626708984
IGUACU;2011-01-07;10248.0;8145.0;79.4800033569336
JACUI;2011-01-07;3197.0;2524.0;78.95999908447266
JEQUITINHONHA;2011-01-07;3024.0;2353.0;77.80999755859375
PARAGUACU;2011-01-07;304.0;102.0;33.52000045776367
PARAGUAI;2011-01-07;563.0;213.0;37.849998474121094
PARAIBA DO SUL;2011-01-07;7360.0;5671.0;77.05000305175781
PARANA;2011-01-07;6059.0;3891.0;64.20999908447266
PARANAIBA;2011-01-07;75422.0;28544.0;37.849998474121094
PARANAPANEMA;2011-01-07;11598.0;5924.0;51.08000183105469
PARNAIBA;2011-01-07;264.0;81.0;30.68000030517578
SAO FRANCISCO;2011-01-07;52835.0;25637.0;48.52000045776367
TIETE;2011-01-07;7353.0;5462.0;74.27999877929688
TOCANTINS;2011-01-07;47794.0;22849.0;47.810001373291016
URUGUAI;2011-01-07;5905.0;3156.0;53.45000076293945
AMAZONAS;2011-01-08;255.0;13.0;5.099999904632568
CAPIVARI;2011-01-08;385.0;260.0;67.51000213623047
DOCE;2011-01-08;13.0;12.0;95.41000366210938
GRANDE;2011-01-08;51488.0;31267.0;60.72999954223633
IGUACU;2011-01-08;10248.0;8136.0;79.38999938964844
JACUI;2011-01-08;3197.0;2517.0;78.73999786376953
JEQUITINHONHA;2011-01-08;3024.0;2368.0;78.30000305175781
PARAGUACU;2011-01-08;304.0;102.0;33.52000045776367
PARAGUAI;2011-01-08;563.0;213.0;37.849998474121094
PARAIBA DO SUL;2011-01-08;7360.0;5692.0;77.33000183105469
PARANA;2011-01-08;6059.0;3907.0;64.4800033569336
PARANAIBA;2011-01-08;75422.0;29082.0;38.560001373291016
PARANAPANEMA;2011-01-08;11598.0;5940.0;51.220001220703125
PARNAIBA;2011-01-08;264.0;82.0;31.059999465942383
SAO FRANCISCO;2011-01-08;52835.0;25976.0;49.15999984741211
TIETE;2011-01-08;7353.0;5690.0;77.37999725341797
TOCANTINS;2011-01-08;47794.0;23093.0;48.31999969482422
URUGUAI;2011-01-08;5905.0;3147.0;53.290000915527344
AMAZONAS;2011-01-09;255.0;14.0;5.5
CAPIVARI;2011-01-09;385.0;264.0;68.55000305175781
DOCE;2011-01-09;13.0;12.0;95.41000366210938
GRANDE;2011-01-09;51488.0;31920.0;62.0
IGUACU;2011-01-09;10248.0;8172.0;79.73999786376953
JACUI;2011-01-09;3197.0;2514.0;78.63999938964844
JEQUITINHONHA;2011-01-09;3024.0;2375.0;78.54000091552734
PARAGUACU;2011-01-09;304.0;101.0;33.189998626708984
PARAGUAI;2011-01-09;563.0;212.0;37.66999816894531
PARAIBA DO SUL;2011-01-09;7360.0;5707.0;77.54000091552734
PARANA;2011-01-09;6059.0;3917.0;64.63999938964844
PARANAIBA;2011-01-09;75422.0;29580.0;39.220001220703125
PARANAPANEMA;2011-01-09;11598.0;5997.0;51.709999084472656
PARNAIBA;2011-01-09;264.0;83.0;31.43000030517578
SAO FRANCISCO;2011-01-09;52835.0;26217.0;49.619998931884766
TIETE;2011-01-09;7353.0;5826.0;79.2300033569336
TOCANTINS;2011-01-09;47794.0;23310.0;48.77000045776367
URUGUAI;2011-01-09;5905.0;3166.0;53.619998931884766
AMAZONAS;2011-01-10;255.0;14.0;5.5
CAPIVARI;2011-01-10;385.0;267.0;69.31999969482422
DOCE;2011-01-10;13.0;12.0;95.41000366210938
GRANDE;2011-01-10;51488.0;32392.0;62.90999984741211
IGUACU;2011-01-10;10248.0;8135.0;79.37999725341797
JACUI;2011-01-10;3197.0;2506.0;78.38999938964844
JEQUITINHONHA;2011-01-10;3024.0;2380.0;78.69999694824219
PARAGUACU;2011-01-10;304.0;101.0;33.189998626708984
PARAGUAI;2011-01-10;563.0;212.0;37.66999816894531
