nomecurto;ear_data;ear_max_bacia;ear_verif_bacia_mwmes;ear_verif_bacia_percentual
AMAZONAS;2016-01-01;1086.0;10.0;0.9200000166893005
CAPIVARI;2016-01-01;385.0;379.0;98.4000015258789
DOCE;2016-01-01;13.0;8.0;63.61000061035156
GRANDE;2016-01-01;51488.0;18514.0;35.959999084472656
IGUACU;2016-01-01;10248.0;10075.0;98.30999755859375
JACUI;2016-01-01;3197.0;3017.0;94.37999725341797
JEQUITINHONHA;2016-01-01;3024.0;234.0;7.739999771118164
PARAGUACU;2016-01-01;304.0;85.0;27.940000534057617
PARAGUAI;2016-01-01;563.0;264.0;46.90999984741211
PARAIBA DO SUL;2016-01-01;7360.0;1521.0;20.65999984741211
PARANA;2016-01-01;6059.0;0.0;0.0
PARANAIBA;2016-01-01;78140.0;19397.0;24.81999969482422
PARANAPANEMA;2016-01-01;12317.0;10788.0;87.58000183105469
PARNAIBA;2016-01-01;264.0;14.0;5.300000190734863
SAO FRANCISCO;2016-01-01;52835.0;2545.0;4.820000171661377
TIETE;2016-01-01;7353.0;6095.0;82.88999938964844
TOCANTINS;2016-01-01;49646.0;6503.0;13.100000381469727
URUGUAI;2016-01-01;6009.0;5992.0;99.72000122070312
AMAZONAS;2016-01-02;1086.0;10.0;0.9200000166893005
CAPIVARI;2016-01-02;385.0;383.0;99.44000244140625
DOCE;2016-01-02;13.0;7.0;55.65999984741211
GRANDE;2016-01-02;51488.0;18667.0;36.2599983215332
IGUACU;2016-01-02;10248.0;10007.0;97.6500015258789
JACUI;2016-01-02;3197.0;2979.0;93.19000244140625
JEQUITINHONHA;2016-01-02;3024.0;233.0;7.699999809265137
PARAGUACU;2016-01-02;304.0;85.0;27.940000534057617
PARAGUAI;2016-01-02;563.0;265.0;47.09000015258789
PARAIBA DO SUL;2016-01-02;7360.0;1540.0;20.920000076293945
PARANA;2016-01-02;6059.0;0.0;0.0
PARANAIBA;2016-01-02;78140.0;19503.0;24.959999084472656
PARANAPANEMA;2016-01-02;12317.0;10784.0;87.55000305175781
PARNAIBA;2016-01-02;264.0;13.0;4.920000076293945
SAO FRANCISCO;2016-01-02;52835.0;2524.0;4.78000020980835
TIETE;2016-01-02;7353.0;6145.0;83.56999969482422
TOCANTINS;2016-01-02;49646.0;6511.0;13.109999656677246
URUGUAI;2016-01-02;6009.0;6003.0;99.9000015258789
AMAZONAS;2016-01-03;1086.0;10.0;0.9200000166893005
CAPIVARI;2016-01-03;385.0;384.0;99.69999694824219
DOCE;2016-01-03;13.0;6.0;47.709999084472656
GRANDE;2016-01-03;51488.0;18891.0;36.689998626708984
IGUACU;2016-01-03;10248.0;9955.0;97.13999938964844
JACUI;2016-01-03;3197.0;2950.0;92.27999877929688
JEQUITINHONHA;2016-01-03;3024.0;230.0;7.610000133514404
PARAGUACU;2016-01-03;304.0;85.0;27.940000534057617
PARAGUAI;2016-01-03;563.0;265.0;47.09000015258789
PARAIBA DO SUL;2016-01-03;7360.0;1585.0;21.530000686645508
PARANA;2016-01-03;6059.0;0.0;0.0
PARANAIBA;2016-01-03;78140.0;19640.0;25.1299991607666
PARANAPANEMA;2016-01-03;12317.0;10780.0;87.5199966430664
PARNAIBA;2016-01-03;264.0;13.0;4.920000076293945
SAO FRANCISCO;2016-01-03;52835.0;2505.0;4.739999771118164
TIETE;2016-01-03;7353.0;6175.0;83.97000122070312
TOCANTINS;2016-01-03;49646.0;6511.0;13.109999656677246
URUGUAI;2016-01-03;6009.0;6019.0;100.16999816894531
