nomecurto;ear_data;ear_max_bacia;ear_verif_bacia_mwmes;ear_verif_bacia_percentual
AMAZONAS;2019-01-01;1120.344970703125;490.5929870605469;43.78950119018555
CAPIVARI;2019-01-01;376.5270080566406;153.0;40.634498596191406
DOCE;2019-01-01;12.763999938964844;6.394999980926514;50.10179901123047
GRANDE;2019-01-01;51474.6015625;14582.828125;28.33009910583496
IGUACU;2019-01-01;9708.6015625;4870.0439453125;50.162200927734375
JACUI;2019-01-01;3123.087890625;2850.330078125;91.26640319824219
JEQUITINHONHA;2019-01-01;2988.30810546875;898.8699951171875;30.079599380493164
PARAGUACU;2019-01-01;328.6090087890625;126.14900207519531;38.38880157470703
PARAGUAI;2019-01-01;558.31298828125;305.135009765625;54.65299987792969
PARAIBA DO SUL;2019-01-01;7416.576171875;2661.410888671875;35.88460159301758
PARANA;2019-01-01;3680.138916015625;2113.830078125;57.438899993896484
PARANAIBA;2019-01-01;78214.4453125;21492.87890625;27.479400634765625
PARANAPANEMA;2019-01-01;12093.1416015625;3111.654052734375;25.73069953918457
PARNAIBA;2019-01-01;264.1130065917969;66.49700164794922;25.177499771118164
SAO FRANCISCO;2019-01-01;52645.015625;21159.7734375;40.19329833984375
TIETE;2019-01-01;9653.49609375;5557.64599609375;57.5713005065918
TOCANTINS;2019-01-01;49268.9609375;8192.3369140625;16.62779998779297
URUGUAI;2019-01-01;5947.81494140625;3665.138916015625;61.62160110473633
AMAZONAS;2019-01-02;1120.344970703125;497.6440124511719;44.418800354003906
CAPIVARI;2019-01-02;376.5270080566406;151.23199462890625;40.165000915527344
DOCE;2019-01-02;12.763999938964844;6.25600004196167;49.01279830932617
GRANDE;2019-01-02;51474.6015625;14748.125;28.65130043029785
IGUACU;2019-01-02;9708.6015625;4804.716796875;49.48929977416992
JACUI;2019-01-02;3123.087890625;2842.4580078125;91.01429748535156
JEQUITINHONHA;2019-01-02;2988.30810546875;909.3660278320312;30.43079948425293
PARAGUACU;2019-01-02;328.6090087890625;125.79000091552734;38.27949905395508
PARAGUAI;2019-01-02;558.31298828125;308.4169921875;55.24089813232422
PARAIBA DO SUL;2019-01-02;7416.576171875;2661.195068359375;35.88169860839844
PARANA;2019-01-02;3680.138916015625;2113.830078125;57.438899993896484
PARANAIBA;2019-01-02;78214.4453125;21721.380859375;27.7716007232666
PARANAPANEMA;2019-01-02;12093.1416015625;3092.4990234375;25.57229995727539
PARNAIBA;2019-01-02;264.1130065917969;66.90499877929688;25.332000732421875
SAO FRANCISCO;2019-01-02;52645.015625;21252.837890625;40.37009811401367
TIETE;2019-01-02;9653.49609375;5543.69091796875;57.42679977416992
TOCANTINS;2019-01-02;49268.9609375;8162.001953125;16.566200256347656
URUGUAI;2019-01-02;5947.81494140625;3601.18896484375;60.5463981628418
AMAZONAS;2019-01-03;1120.344970703125;505.26300048828125;45.098899841308594
CAPIVARI;2019-01-03;376.5270080566406;148.60000610351562;39.465999603271484
DOCE;2019-01-03;12.763999938964844;7.39300012588501;57.92070007324219
GRANDE;2019-01-03;51474.6015625;14771.869140625;28.697399139404297
IGUACU;2019-01-03;9708.6015625;4714.25;48.557498931884766
JACUI;2019-01-03;3123.087890625;2840.64111328125;90.9561996459961
JEQUITINHONHA;2019-01-03;2988.30810546875;918.7009887695312;30.743200302124023
PARAGUACU;2019-01-03;328.6090087890625;125.79000091552734;38.27949905395508
PARAGUAI;2019-01-03;558.31298828125;311.0790100097656;55.71770095825195
PARAIBA DO SUL;2019-01-03;7416.576171875;2657.791015625;35.83580017089844
PARANA;2019-01-03;3680.138916015625;2121.205078125;57.63930130004883
PARANAIBA;2019-01-03;78214.4453125;21864.986328125;27.9552001953125
PARANAPANEMA;2019-01-03;12093.1416015625;3068.659912109375;25.375200271606445
PARNAIBA;2019-01-03;264.1130065917969;67.31300354003906;25.486400604248047
SAO FRANCISCO;2019-01-03;52645.015625;21330.609375;40.517799377441406
TIETE;2019-01-03;9653.49609375;5523.59423828125;57.21860122680664
TOCANTINS;2019-01-03;49268.9609375;8106.38720703125;16.45330047607422
URUGUAI;2019-01-03;5947.81494140625;3497.074951171875;58.79600143432617
AMAZONAS;2019-01-04;1120.344970703125;515.7379760742188;46.03390121459961
CAPIVARI;2019-01-04;376.5270080566406;147.24600219726562;39.10639953613281
DOCE;2019-01-04;12.763999938964844;8.253000259399414;64.65840148925781
GRANDE;2019-01-04;51474.6015625;14770.3603515625;28.694499969482422
IGUACU;2019-01-04;9708.6015625;4633.69482421875;47.727699279785156
JACUI;2019-01-04;3123.087890625;2838.52197265625;90.88829803466797
JEQUITINHONHA;2019-01-04;2988.30810546875;925.9990234375;30.98740005493164
PARAGUACU;2019-01-04;328.6090087890625;125.59400177001953;38.21989822387695
PARAGUAI;2019-01-04;558.31298828125;313.6860046386719;56.184600830078125
PARAIBA DO SUL;2019-01-04;7416.576171875;2675.757080078125;36.07809829711914
PARANA;2019-01-04;3680.138916015625;2121.205078125;57.63930130004883
PARANAIBA;2019-01-04;78214.4453125;22047.888671875;28.18899917602539
PARANAPANEMA;2019-01-04;12093.1416015625;3028.69091796875;25.044700622558594
PARNAIBA;2019-01-04;264.1130065917969;67.69599914550781;25.631500244140625
SAO FRANCISCO;2019-01-04;52645.015625;21413.9921875;40.67620086669922
TIETE;2019-01-04;9653.49609375;5521.4560546875;57.1963996887207
TOCANTINS;2019-01-04;49268.9609375;7998.16796875;16.233699798583984
URUGUAI;2019-01-04;5947.81494140625;3406.048095703125;57.265499114990234
AMAZONAS;2019-01-05;1120.344970703125;526.4849853515625;46.993099212646484
CAPIVARI;2019-01-05;376.5270080566406;149.27699279785156;39.64580154418945
DOCE;2019-01-05;12.763999938964844;8.682000160217285;68.01940155029297
GRANDE;2019-01-05;51474.6015625;14833.2939453125;28.816699981689453
IGUACU;2019-01-05;9708.6015625;4599.02978515625;47.37070083618164
JACUI;2019-01-05;3123.087890625;2838.52197265625;90.88829803466797
JEQUITINHONHA;2019-01-05;2988.30810546875;931.2550048828125;31.163299560546875
PARAGUACU;2019-01-05;328.6090087890625;303.5830078125;92.3843002319336
PARAGUAI;2019-01-05;558.31298828125;316.2950134277344;56.65190124511719
PARAIBA DO SUL;2019-01-05;7416.576171875;2718.751953125;36.657798767089844
PARANA;2019-01-05;3680.138916015625;2136.326904296875;58.050201416015625
PARANAIBA;2019-01-05;78214.4453125;22238.5390625;28.43280029296875
PARANAPANEMA;2019-01-05;12093.1416015625;3004.68408203125;24.846200942993164
PARNAIBA;2019-01-05;264.1130065917969;68.1050033569336;25.786300659179688
SAO FRANCISCO;2019-01-05;52645.015625;21491.92578125;40.82419967651367
TIETE;2019-01-05;9653.49609375;5566.30078125;57.6609992980957
TOCANTINS;2019-01-05;49268.9609375;8012.5517578125;16.26289939880371
URUGUAI;2019-01-05;5947.81494140625;3365.89208984375;56.59040069580078
AMAZONAS;2019-01-06;1120.344970703125;537.0780029296875;47.9385986328125
CAPIVARI;2019-01-06;376.5270080566406;154.95700073242188;41.154300689697266
DOCE;2019-01-06;12.763999938964844;9.548999786376953;74.81199645996094
GRANDE;2019-01-06;51474.6015625;15012.6318359375;29.16510009765625
IGUACU;2019-01-06;9708.6015625;4590.3828125;47.28160095214844
JACUI;2019-01-06;3123.087890625;2838.52197265625;90.88829803466797
JEQUITINHONHA;2019-01-06;2988.30810546875;935.343994140625;31.300100326538086
PARAGUACU;2019-01-06;328.6090087890625;303.1419982910156;92.2500991821289
PARAGUAI;2019-01-06;558.31298828125;318.281005859375;57.007598876953125
PARAIBA DO SUL;2019-01-06;7416.576171875;2754.133056640625;37.13479995727539
PARANA;2019-01-06;3680.138916015625;2106.4541015625;57.238399505615234
PARANAIBA;2019-01-06;78214.4453125;22357.345703125;28.584699630737305
PARANAPANEMA;2019-01-06;12093.1416015625;3017.4541015625;24.951799392700195
PARNAIBA;2019-01-06;264.1130065917969;68.51300048828125;25.940799713134766
SAO FRANCISCO;2019-01-06;52645.015625;21556.63671875;40.947200775146484
TIETE;2019-01-06;9653.49609375;5675.31103515625;58.790199279785156
TOCANTINS;2019-01-06;49268.9609375;8071.2568359375;16.381999969482422
URUGUAI;2019-01-06;5947.81494140625;3363.8359375;56.55580139160156
AMAZONAS;2019-01-07;1120.344970703125;544.9290161132812;48.639400482177734
CAPIVARI;2019-01-07;376.5270080566406;154.24200439453125;40.96440124511719
DOCE;2019-01-07;12.763999938964844;9.258999824523926;72.54000091552734
GRANDE;2019-01-07;51474.6015625;15094.232421875;29.32360076904297
IGUACU;2019-01-07;9708.6015625;4517.06396484375;46.52640151977539
