nomecurto;ear_data;ear_max_bacia;ear_verif_bacia_mwmes;ear_verif_bacia_percentual
AMAZONAS;2013-01-01;312.0;42.0;13.4399995803833
CAPIVARI;2013-01-01;385.0;185.0;48.029998779296875
DOCE;2013-01-01;13.0;9.0;71.55999755859375
GRANDE;2013-01-01;51488.0;9698.0;18.84000015258789
IGUACU;2013-01-01;10248.0;2359.0;23.020000457763672
JACUI;2013-01-01;3197.0;2416.0;75.58000183105469
JEQUITINHONHA;2013-01-01;3024.0;1391.0;46.0
PARAGUACU;2013-01-01;304.0;58.0;19.059999465942383
PARAGUAI;2013-01-01;563.0;229.0;40.689998626708984
PARAIBA DO SUL;2013-01-01;7360.0;3100.0;42.119998931884766
PARANA;2013-01-01;6059.0;2965.0;48.93000030517578
PARANAIBA;2013-01-01;75422.0;18965.0;25.149999618530273
PARANAPANEMA;2013-01-01;12317.0;3685.0;29.920000076293945
PARNAIBA;2013-01-01;264.0;169.0;64.0
SAO FRANCISCO;2013-01-01;52835.0;16660.0;31.530000686645508
TIETE;2013-01-01;7353.0;4502.0;61.220001220703125
TOCANTINS;2013-01-01;49646.0;19157.0;38.59000015258789
URUGUAI;2013-01-01;5905.0;2455.0;41.58000183105469
AMAZONAS;2013-01-02;312.0;42.0;13.4399995803833
CAPIVARI;2013-01-02;385.0;188.0;48.810001373291016
DOCE;2013-01-02;13.0;9.0;71.55999755859375
GRANDE;2013-01-02;51488.0;9749.0;18.93000030517578
IGUACU;2013-01-02;10248.0;2480.0;24.200000762939453
JACUI;2013-01-02;3197.0;2428.0;75.94999694824219
JEQUITINHONHA;2013-01-02;3024.0;1390.0;45.959999084472656
PARAGUACU;2013-01-02;304.0;58.0;19.059999465942383
PARAGUAI;2013-01-02;563.0;228.0;40.5099983215332
PARAIBA DO SUL;2013-01-02;7360.0;3129.0;42.5099983215332
PARANA;2013-01-02;6059.0;2902.0;47.88999938964844
PARANAIBA;2013-01-02;75422.0;18754.0;24.8700008392334
PARANAPANEMA;2013-01-02;12317.0;3732.0;30.299999237060547
PARNAIBA;2013-01-02;264.0;167.0;63.25
SAO FRANCISCO;2013-01-02;52835.0;16601.0;31.420000076293945
TIETE;2013-01-02;7353.0;4524.0;61.52000045776367
TOCANTINS;2013-01-02;49646.0;19086.0;38.439998626708984
URUGUAI;2013-01-02;5905.0;2482.0;42.029998779296875
AMAZONAS;2013-01-03;312.0;42.0;13.4399995803833
CAPIVARI;2013-01-03;385.0;191.0;49.59000015258789
DOCE;2013-01-03;13.0;9.0;71.55999755859375
GRANDE;2013-01-03;51488.0;9832.0;19.100000381469727
IGUACU;2013-01-03;10248.0;2546.0;24.84000015258789
JACUI;2013-01-03;3197.0;2433.0;76.11000061035156
JEQUITINHONHA;2013-01-03;3024.0;1388.0;45.900001525878906
PARAGUACU;2013-01-03;304.0;58.0;19.059999465942383
PARAGUAI;2013-01-03;563.0;227.0;40.33000183105469
PARAIBA DO SUL;2013-01-03;7360.0;3188.0;43.310001373291016
PARANA;2013-01-03;6059.0;2929.0;48.34000015258789
PARANAIBA;2013-01-03;75422.0;18498.0;24.530000686645508
PARANAPANEMA;2013-01-03;12317.0;3772.0;30.6200008392334
PARNAIBA;2013-01-03;264.0;166.0;62.869998931884766
SAO FRANCISCO;2013-01-03;52835.0;16331.0;30.90999984741211
TIETE;2013-01-03;7353.0;4528.0;61.58000183105469
TOCANTINS;2013-01-03;49646.0;19008.0;38.290000915527344
URUGUAI;2013-01-03;5905.0;2494.0;42.2400016784668
AMAZONAS;2013-01-04;312.0;42.0;13.4399995803833
CAPIVARI;2013-01-04;385.0;194.0;50.369998931884766
DOCE;2013-01-04;13.0;9.0;71.55999755859375
GRANDE;2013-01-04;51488.0;9879.0;19.190000534057617
IGUACU;2013-01-04;10248.0;2584.0;25.209999084472656
JACUI;2013-01-04;3197.0;2441.0;76.36000061035156
JEQUITINHONHA;2013-01-04;3024.0;1387.0;45.86000061035156
PARAGUACU;2013-01-04;304.0;58.0;19.059999465942383
PARAGUAI;2013-01-04;563.0;226.0;40.15999984741211
PARAIBA DO SUL;2013-01-04;7360.0;3232.0;43.90999984741211
PARANA;2013-01-04;6059.0;2933.0;48.400001525878906
PARANAIBA;2013-01-04;75422.0;18304.0;24.270000457763672
PARANAPANEMA;2013-01-04;12317.0;3809.0;30.920000076293945
PARNAIBA;2013-01-04;264.0;164.0;62.11000061035156
SAO FRANCISCO;2013-01-04;52835.0;16132.0;30.530000686645508
TIETE;2013-01-04;7353.0;4525.0;61.540000915527344
TOCANTINS;2013-01-04;49646.0;18880.0;38.029998779296875
URUGUAI;2013-01-04;5905.0;2503.0;42.38999938964844
AMAZONAS;2013-01-05;312.0;42.0;13.4399995803833
CAPIVARI;2013-01-05;385.0;194.0;50.369998931884766
DOCE;2013-01-05;13.0;9.0;71.55999755859375
GRANDE;2013-01-05;51488.0;9878.0;19.190000534057617
IGUACU;2013-01-05;10248.0;2592.0;25.290000915527344
JACUI;2013-01-05;3197.0;2452.0;76.69999694824219
JEQUITINHONHA;2013-01-05;3024.0;1384.0;45.77000045776367
PARAGUACU;2013-01-05;304.0;58.0;19.059999465942383
PARAGUAI;2013-01-05;563.0;225.0;39.97999954223633
PARAIBA DO SUL;2013-01-05;7360.0;3257.0;44.25
PARANA;2013-01-05;6059.0;3034.0;50.06999969482422
PARANAIBA;2013-01-05;75422.0;18159.0;24.079999923706055
PARANAPANEMA;2013-01-05;12317.0;3873.0;31.440000534057617
PARNAIBA;2013-01-05;264.0;162.0;61.349998474121094
SAO FRANCISCO;2013-01-05;52835.0;16069.0;30.40999984741211
TIETE;2013-01-05;7353.0;4519.0;61.45000076293945
TOCANTINS;2013-01-05;49646.0;18770.0;37.810001373291016
URUGUAI;2013-01-05;5905.0;2508.0;42.470001220703125
AMAZONAS;2013-01-06;312.0;43.0;13.760000228881836
CAPIVARI;2013-01-06;385.0;196.0;50.88999938964844
DOCE;2013-01-06;13.0;9.0;71.55999755859375
GRANDE;2013-01-06;51488.0;9952.0;19.329999923706055
IGUACU;2013-01-06;10248.0;2692.0;26.270000457763672
JACUI;2013-01-06;3197.0;2471.0;77.30000305175781
JEQUITINHONHA;2013-01-06;3024.0;1382.0;45.70000076293945
PARAGUACU;2013-01-06;304.0;57.0;18.729999542236328
PARAGUAI;2013-01-06;563.0;225.0;39.97999954223633
PARAIBA DO SUL;2013-01-06;7360.0;3274.0;44.47999954223633
PARANA;2013-01-06;6059.0;3071.0;50.68000030517578
PARANAIBA;2013-01-06;75422.0;18037.0;23.90999984741211
PARANAPANEMA;2013-01-06;12317.0;3914.0;31.780000686645508
PARNAIBA;2013-01-06;264.0;161.0;60.970001220703125
SAO FRANCISCO;2013-01-06;52835.0;16037.0;30.350000381469727
TIETE;2013-01-06;7353.0;4521.0;61.47999954223633
TOCANTINS;2013-01-06;49646.0;18694.0;37.650001525878906
URUGUAI;2013-01-06;5905.0;2598.0;44.0
AMAZONAS;2013-01-07;312.0;44.0;14.079999923706055
CAPIVARI;2013-01-07;385.0;197.0;51.150001525878906
DOCE;2013-01-07;13.0;9.0;71.55999755859375
GRANDE;2013-01-07;51488.0;9958.0;19.34000015258789
IGUACU;2013-01-07;10248.0;2736.0;26.700000762939453
