nomecurto;ear_data;ear_max_bacia;ear_verif_bacia_mwmes;ear_verif_bacia_percentual
AMAZONAS;2014-01-01;1086.0;492.0;45.310001373291016
CAPIVARI;2014-01-01;385.0;224.0;58.15999984741211
DOCE;2014-01-01;13.0;12.0;95.41000366210938
GRANDE;2014-01-01;51488.0;25309.0;49.15999984741211
IGUACU;2014-01-01;10248.0;4959.0;48.38999938964844
JACUI;2014-01-01;3197.0;2706.0;84.6500015258789
JEQUITINHONHA;2014-01-01;3024.0;2565.0;84.81999969482422
PARAGUACU;2014-01-01;304.0;126.0;41.40999984741211
PARAGUAI;2014-01-01;563.0;375.0;66.62999725341797
PARAIBA DO SUL;2014-01-01;7360.0;3873.0;52.619998931884766
PARANA;2014-01-01;6059.0;3384.0;55.849998474121094
PARANAIBA;2014-01-01;75422.0;27832.0;36.900001525878906
PARANAPANEMA;2014-01-01;12317.0;7957.0;64.5999984741211
PARNAIBA;2014-01-01;264.0;113.0;42.79999923706055
SAO FRANCISCO;2014-01-01;52835.0;17229.0;32.61000061035156
TIETE;2014-01-01;7353.0;4794.0;65.19000244140625
TOCANTINS;2014-01-01;49646.0;17229.0;34.70000076293945
URUGUAI;2014-01-01;6009.0;3634.0;60.47999954223633
AMAZONAS;2014-01-02;1086.0;488.0;44.939998626708984
CAPIVARI;2014-01-02;385.0;224.0;58.15999984741211
DOCE;2014-01-02;13.0;12.0;95.41000366210938
GRANDE;2014-01-02;51488.0;25218.0;48.97999954223633
IGUACU;2014-01-02;10248.0;4915.0;47.959999084472656
JACUI;2014-01-02;3197.0;2715.0;84.93000030517578
JEQUITINHONHA;2014-01-02;3024.0;2566.0;84.8499984741211
PARAGUACU;2014-01-02;304.0;125.0;41.08000183105469
PARAGUAI;2014-01-02;563.0;377.0;66.98999786376953
PARAIBA DO SUL;2014-01-02;7360.0;3874.0;52.630001068115234
PARANA;2014-01-02;6059.0;3353.0;55.34000015258789
PARANAIBA;2014-01-02;75422.0;27825.0;36.88999938964844
PARANAPANEMA;2014-01-02;12317.0;7962.0;64.63999938964844
PARNAIBA;2014-01-02;264.0;111.0;42.040000915527344
SAO FRANCISCO;2014-01-02;52835.0;17486.0;33.099998474121094
TIETE;2014-01-02;7353.0;4819.0;65.52999877929688
TOCANTINS;2014-01-02;49646.0;17398.0;35.040000915527344
URUGUAI;2014-01-02;6009.0;3638.0;60.540000915527344
AMAZONAS;2014-01-03;1086.0;480.0;44.209999084472656
CAPIVARI;2014-01-03;385.0;223.0;57.900001525878906
DOCE;2014-01-03;13.0;11.0;87.45999908447266
GRANDE;2014-01-03;51488.0;25183.0;48.90999984741211
IGUACU;2014-01-03;10248.0;4918.0;47.9900016784668
JACUI;2014-01-03;3197.0;2735.0;85.55999755859375
JEQUITINHONHA;2014-01-03;3024.0;2569.0;84.94999694824219
PARAGUACU;2014-01-03;304.0;125.0;41.08000183105469
PARAGUAI;2014-01-03;563.0;379.0;67.33999633789062
PARAIBA DO SUL;2014-01-03;7360.0;3875.0;52.650001525878906
PARANA;2014-01-03;6059.0;3259.0;53.779998779296875
PARANAIBA;2014-01-03;75422.0;27758.0;36.79999923706055
