nomecurto;ear_data;ear_max_bacia;ear_verif_bacia_mwmes;ear_verif_bacia_percentual
SAO FRANCISCO;2012-01-05;52835.0;32340.0;61.209999084472656
TIETE;2012-01-05;7353.0;4029.0;54.790000915527344
TOCANTINS;2012-01-05;47794.0;28384.0;59.38999938964844
URUGUAI;2012-01-05;5905.0;2496.0;42.27000045776367
AMAZONAS;2012-01-06;312.0;74.0;23.690000534057617
CAPIVARI;2012-01-06;385.0;306.0;79.44999694824219
DOCE;2012-01-06;13.0;11.0;87.45999908447266
GRANDE;2012-01-06;51488.0;36470.0;70.83000183105469
IGUACU;2012-01-06;10248.0;6126.0;59.779998779296875
JACUI;2012-01-06;3197.0;2104.0;65.81999969482422
JEQUITINHONHA;2012-01-06;3024.0;2663.0;88.05999755859375
PARAGUACU;2012-01-06;304.0;101.0;33.189998626708984
PARAGUAI;2012-01-06;563.0;258.0;45.84000015258789
PARAIBA DO SUL;2012-01-06;7360.0;4984.0;67.70999908447266
PARANA;2012-01-06;6059.0;3463.0;57.150001525878906
PARANAIBA;2012-01-06;75422.0;45743.0;60.650001525878906
PARANAPANEMA;2012-01-06;11598.0;7812.0;67.36000061035156
PARNAIBA;2012-01-06;264.0;88.0;33.33000183105469
SAO FRANCISCO;2012-01-06;52835.0;32632.0;61.7599983215332
TIETE;2012-01-06;7353.0;4047.0;55.040000915527344
TOCANTINS;2012-01-06;47794.0;28494.0;59.619998931884766
URUGUAI;2012-01-06;5905.0;2482.0;42.029998779296875
AMAZONAS;2012-01-07;312.0;73.0;23.3700008392334
CAPIVARI;2012-01-07;385.0;306.0;79.44999694824219
DOCE;2012-01-07;13.0;11.0;87.45999908447266
GRANDE;2012-01-07;51488.0;36970.0;71.80000305175781
IGUACU;2012-01-07;10248.0;6137.0;59.88999938964844
JACUI;2012-01-07;3197.0;2099.0;65.66000366210938
JEQUITINHONHA;2012-01-07;3024.0;2680.0;88.62000274658203
PARAGUACU;2012-01-07;304.0;101.0;33.189998626708984
PARAGUAI;2012-01-07;563.0;263.0;46.72999954223633
PARAIBA DO SUL;2012-01-07;7360.0;5000.0;67.93000030517578
PARANA;2012-01-07;6059.0;3459.0;57.09000015258789
PARANAIBA;2012-01-07;75422.0;46079.0;61.099998474121094
PARANAPANEMA;2012-01-07;11598.0;7798.0;67.23999786376953
PARNAIBA;2012-01-07;264.0;88.0;33.33000183105469
SAO FRANCISCO;2012-01-07;52835.0;33030.0;62.52000045776367
TIETE;2012-01-07;7353.0;4049.0;55.060001373291016
TOCANTINS;2012-01-07;47794.0;28718.0;60.09000015258789
URUGUAI;2012-01-07;5905.0;2473.0;41.880001068115234
AMAZONAS;2012-01-08;312.0;76.0;24.329999923706055
CAPIVARI;2012-01-08;385.0;308.0;79.97000122070312
DOCE;2012-01-08;13.0;11.0;87.45999908447266
GRANDE;2012-01-08;51488.0;37485.0;72.80000305175781
